date,time,datetime,region,indicator,importance,prev,forecast,actual,tf_category
2018-01-10 00:00:00,09:30,2018-01-10 09:30:00,中国,12月PPI:同比(%),重要,5.8,4.83,4.9,inflation
2018-01-10 00:00:00,09:30,2018-01-10 09:30:00,中国,12月CPI:同比(%),重要,1.7,1.84,1.8,inflation
2018-01-12 00:00:00,16:00,2018-01-12 16:00:00,中国,12月新增人民币贷款(亿元),重要,11200.0,9933.33,5844.0,credit
2018-01-12 00:00:00,16:00,2018-01-12 16:00:00,中国,12月社会融资规模:当月值(亿元),重要,22955.98,15000.0,18102.88,credit
2018-01-12 00:00:00,16:00,2018-01-12 16:00:00,中国,12月M1:同比(%),重要,12.7,12.33,11.8,credit
2018-01-12 00:00:00,16:00,2018-01-12 16:00:00,中国,12月M0:同比(%),重要,5.7,5.2,3.4,credit
2018-01-12 00:00:00,16:00,2018-01-12 16:00:00,中国,12月M2:同比(%),重要,9.1,9.18,8.1,credit
2018-01-12 00:00:00,16:00,2018-01-12 16:00:00,中国,12月社会融资规模存量:同比(%),重要,14.49,,14.08,credit
2018-01-18 00:00:00,15:00,2018-01-18 15:00:00,中国,第四季度GDP:当季同比(%),重要,6.9,6.73,6.8,growth
2018-01-31 00:00:00,09:00,2018-01-31 09:00:00,中国,1月官方制造业PMI(%),重要,51.6,51.5,51.3,pmi
2018-02-09 00:00:00,09:30,2018-02-09 09:30:00,中国,1月PPI:同比(%),重要,4.9,4.42,4.3,inflation
2018-02-09 00:00:00,09:30,2018-02-09 09:30:00,中国,1月CPI:同比(%),重要,1.8,1.45,1.5,inflation
2018-02-12 00:00:00,17:00,2018-02-12 17:00:00,中国,1月社会融资规模:当月值(亿元),重要,18102.88,26714.29,31417.22,credit
2018-02-12 00:00:00,17:00,2018-02-12 17:00:00,中国,1月新增人民币贷款(亿元),重要,5844.0,21142.86,29000.0,credit
2018-02-12 00:00:00,17:00,2018-02-12 17:00:00,中国,1月M1:同比(%),重要,11.8,13.0,15.0,credit
2018-02-12 00:00:00,17:00,2018-02-12 17:00:00,中国,1月M0:同比(%),重要,3.4,,-13.8,credit
2018-02-12 00:00:00,17:00,2018-02-12 17:00:00,中国,1月M2:同比(%),重要,8.1,8.24,8.6,credit
2018-02-12 00:00:00,17:00,2018-02-12 17:00:00,中国,1月社会融资规模存量:同比(%),重要,14.08,,13.43,credit
2018-02-28 00:00:00,09:00,2018-02-28 09:00:00,中国,2月官方制造业PMI(%),重要,51.3,51.03,50.3,pmi
2018-03-09 00:00:00,09:00,2018-03-09 09:00:00,中国,2月社会融资规模:当月值(亿元),重要,31417.22,10406.0,12064.39,credit
2018-03-09 00:00:00,09:00,2018-03-09 09:00:00,中国,2月新增人民币贷款(亿元),重要,29000.0,9335.0,8393.0,credit
2018-03-09 00:00:00,09:00,2018-03-09 09:00:00,中国,2月M1:同比(%),重要,15.0,11.67,8.5,credit
2018-03-09 00:00:00,09:00,2018-03-09 09:00:00,中国,2月M0:同比(%),重要,-13.8,13.0,13.5,credit
2018-03-09 00:00:00,09:00,2018-03-09 09:00:00,中国,2月M2:同比(%),重要,8.6,8.62,8.8,credit
2018-03-09 00:00:00,09:00,2018-03-09 09:00:00,中国,2月社会融资规模存量:同比(%),重要,13.43,11.0,13.39,credit
2018-03-09 00:00:00,09:30,2018-03-09 09:30:00,中国,2月PPI:同比(%),重要,4.3,3.73,3.7,inflation
2018-03-09 00:00:00,09:30,2018-03-09 09:30:00,中国,2月CPI:同比(%),重要,1.5,2.53,2.9,inflation
2018-03-31 00:00:00,09:00,2018-03-31 09:00:00,中国,3月官方制造业PMI(%),重要,50.3,50.63,51.5,pmi
2018-04-11 00:00:00,09:30,2018-04-11 09:30:00,中国,3月PPI:同比(%),重要,3.7,3.1,3.1,inflation
2018-04-11 00:00:00,09:30,2018-04-11 09:30:00,中国,3月CPI:同比(%),重要,2.9,2.51,2.1,inflation
2018-04-13 00:00:00,16:00,2018-04-13 16:00:00,中国,3月社会融资规模:当月值(亿元),重要,12064.39,16190.0,17091.48,credit
2018-04-13 00:00:00,16:00,2018-04-13 16:00:00,中国,3月新增人民币贷款(亿元),重要,8393.0,11909.44,11200.0,credit
2018-04-13 00:00:00,16:00,2018-04-13 16:00:00,中国,3月M1:同比(%),重要,8.5,10.07,7.1,credit
2018-04-13 00:00:00,16:00,2018-04-13 16:00:00,中国,3月M0:同比(%),重要,13.5,9.5,6.0,credit
2018-04-13 00:00:00,16:00,2018-04-13 16:00:00,中国,3月M2:同比(%),重要,8.8,8.8,8.2,credit
2018-04-13 00:00:00,16:00,2018-04-13 16:00:00,中国,3月社会融资规模存量:同比(%),重要,13.39,10.9,12.69,credit
2018-04-17 00:00:00,10:00,2018-04-17 10:00:00,中国,第一季度GDP:当季同比(%),重要,6.8,6.76,6.9,growth
2018-04-30 00:00:00,09:00,2018-04-30 09:00:00,中国,4月官方制造业PMI(%),重要,51.5,51.55,51.4,pmi
2018-05-10 00:00:00,09:30,2018-05-10 09:30:00,中国,4月PPI:同比(%),重要,3.1,3.5,3.4,inflation
2018-05-10 00:00:00,09:30,2018-05-10 09:30:00,中国,4月CPI:同比(%),重要,2.1,1.96,1.8,inflation
2018-05-11 00:00:00,15:05,2018-05-11 15:05:00,中国,4月社会融资规模:当月值(亿元),重要,17091.48,13275.0,22242.94,credit
2018-05-11 00:00:00,15:05,2018-05-11 15:05:00,中国,4月新增人民币贷款(亿元),重要,11200.0,11464.29,11800.0,credit
2018-05-11 00:00:00,15:05,2018-05-11 15:05:00,中国,4月M1:同比(%),重要,7.1,7.18,7.2,credit
2018-05-11 00:00:00,15:05,2018-05-11 15:05:00,中国,4月M0:同比(%),重要,6.0,6.1,4.5,credit
2018-05-11 00:00:00,15:05,2018-05-11 15:05:00,中国,4月M2:同比(%),重要,8.2,8.49,8.3,credit
